title,price,rating,num_ratings,manufacturer,about_item,product_url
"KODAK Mini Shot 2 Retro 4PASS 2-in-1 Instant Camera and Photo Printer (2.1x3.4 inches) + 68 Sheets Bundle, White",13699,3.9,"5,625",KODAK,"Instant Camera + Photo Printer: The Kodak Mini Shot 2 Retro is a polaroid camera with a built-in photo printer, so you can print your images or cancel them after you have taken them. With this instant cameras, you can also print photos directly from the gallery of your mobile device via Bluetooth. This instant photo camera is compatible with Apple iPhone, iPad & Android devices.

Low Photo Cost: Why pay more to print? Printing has never been easier with our Kodak Mini Shot 2 Retro polaroid camera. Photos are even half the cost if purchased in an instant photo camera bundle! The more you print the more you save with this instant cameras and printer.

Superior Photo Quality: The Kodak Mini Shot 2 Retro polaroid camera utilizes 4PASS technology, which allows you to print flawless photos in just a few seconds. As the photos are printed on layers of color and laminated, they are protected against fingerprints and water. Photos last over a 100 years!

Two Photo Types: It is possible to print both bordered and borderless pictures with the Kodak Mini Shot 3 Retro polaroid camera. With this instant camera, you can create lasting memories by writing down your memories in the border type. You can print the borderless type of photo if you want to have them in a larger size.

Augmented Reality App: Download the KODAK Photo Printer application and print from anywhere at any time. With fun augmented reality features and other decorative features such as beauty, filters, frames, and more, you can use the app to express your photos. Our app and instant photo camera will do the rest of the work for you!",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5ODExNjE3Njg1NzI5NDM6MTc0NDA2MzE2NTpzcF9hdGY6MzAwMjE2MjgyMDU0MDMyOjowOjo&url=%2FKODAK-Instant-Camera-Printer-2-1x3-4%2Fdp%2FB088PQR3YL%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.inKGLn7zOpBLcBKym2afr-G4s7-38fajwfLXvfxtQTbhssLDrRfTq1xme7vA4bVOFVwc4i18bVid7mLuClks33H4qSVSTh9J3Manf8rOudEkd2aX9MQoLWPWfC1r6u4Dy3yWhKl5zJQfONU4k3vTlZCYTkEgapJ-W1wVTOBTw49O2RDNuBqooWMt7CbwCpovIY4hZ9ZXvzq9xTs9debicNaj0najVJsXEng0XVY8n8A.O6TCJSRV9bq2vJGzM8YI61ilytQnJJkvggYL2eSDUg0%26dib_tag%3Dse%26keywords%3Dphoto%2Bcamera%26qid%3D1744063165%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Fujifilm Instax Square SQ1 Camera - Glacier Blue,10499,4.2,"2,780",instax,"Auto Exposure - Capture bright photos even in dark spaces - no special settings needed.

Selfie Mode - Get perfectly clear selfies with Selfie mode. Position yourself in the selfie mirror for the best shot!

Simple operation - Twist the lens to turn it on. Twist it again for Selfie mode.

Color: Glacier Blue",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5ODExNjE3Njg1NzI5NDM6MTc0NDA2MzE2NTpzcF9hdGY6MjAwOTY2MTA3ODg5OTg6OjA6Og&url=%2FFujifilm-Instax-Square-SQ1-Camera%2Fdp%2FB08H89FP2P%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.inKGLn7zOpBLcBKym2afr-G4s7-38fajwfLXvfxtQTbhssLDrRfTq1xme7vA4bVOFVwc4i18bVid7mLuClks33H4qSVSTh9J3Manf8rOudEkd2aX9MQoLWPWfC1r6u4Dy3yWhKl5zJQfONU4k3vTlZCYTkEgapJ-W1wVTOBTw49O2RDNuBqooWMt7CbwCpovIY4hZ9ZXvzq9xTs9debicNaj0najVJsXEng0XVY8n8A.O6TCJSRV9bq2vJGzM8YI61ilytQnJJkvggYL2eSDUg0%26dib_tag%3Dse%26keywords%3Dphoto%2Bcamera%26qid%3D1744063165%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"TOYTONIC Kids Digital Camera in Pink with 3MP, HD 1080P, IPS Screen, Selfie Function, and Built-in Games",828,3.9,72,TOYTONIC,"📸 3MP High-Quality Camera: Capture sharp and vibrant images with 3MP resolution, perfect for budding photographers.

🎥 HD 1080P Video Recording: Record fun and memorable moments in clear HD quality for playback and sharing.

🖥️ IPS Display Screen: Features a durable and eye-friendly IPS screen for easy photo and video viewing.

🤳 Selfie Mode: Includes a selfie camera function for kids to capture their own fun moments effortlessly.

🎮 Built-In Games: Keep kids entertained with fun, pre-installed games when they’re not taking photos.

🎀 Attractive Pink Color: Designed in a beautiful pink color that’s perfect for kids who love stylish and vibrant gadgets.

🔋 Rechargeable Battery: Enjoy hours of fun with the built-in rechargeable battery, eliminating the need for constant replacements.

🎁 Perfect Gift for Kids: Lightweight, portable, and easy to use—ideal for birthdays, holidays, or any special occasion.",https://www.amazon.in/TOYTONIC-Digital-Camera-Screen-Function/dp/B0DRVYQVNJ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.inKGLn7zOpBLcBKym2afr-G4s7-38fajwfLXvfxtQTbhssLDrRfTq1xme7vA4bVOFVwc4i18bVid7mLuClks33H4qSVSTh9J3Manf8rOudEkd2aX9MQoLWPWfC1r6u4Dy3yWhKl5zJQfONU4k3vTlZCYTkEgapJ-W1wVTOBTw49O2RDNuBqooWMt7CbwCpovIY4hZ9ZXvzq9xTs9debicNaj0najVJsXEng0XVY8n8A.O6TCJSRV9bq2vJGzM8YI61ilytQnJJkvggYL2eSDUg0&dib_tag=se&keywords=photo+camera&qid=1744063165&sr=8-3
"Toy Imagine Kids Digital Camera with 1080P Video & 1200W Photos, 2-Inch Screen, USB Rechargeable, Fun Camera for Boys & Girls, Educational & Portable Kids Gadget – Ideal Birthday Gift for Ages 3-10",823,3.9,9,Imagine,"📷 1080P Video & 1200W Photo: Capture precious moments with crystal-clear 1080P video and high-resolution 1200W photos. A perfect first camera for kids to explore photography!

🖥 2-Inch IPS Screen: Equipped with a vibrant 2-inch IPS display, making it easy for children to view their pictures and videos.

🔋 USB Rechargeable & Long Battery Life: Comes with a USB charging feature for convenience, offering hours of uninterrupted fun and creativity.

🎮 Fun & Educational Games: Built-in interactive games to entertain kids while enhancing their creativity and focus.

🎁 Compact & Kid-Friendly Design: Lightweight and portable design, perfectly sized for little hands, making it ideal for travel, family events, and outdoor adventures.",https://www.amazon.in/Toy-Imagine-Rechargeable-Educational-Portable/dp/B0DQY9DPXR/ref=sr_1_4?dib=eyJ2IjoiMSJ9.inKGLn7zOpBLcBKym2afr-G4s7-38fajwfLXvfxtQTbhssLDrRfTq1xme7vA4bVOFVwc4i18bVid7mLuClks33H4qSVSTh9J3Manf8rOudEkd2aX9MQoLWPWfC1r6u4Dy3yWhKl5zJQfONU4k3vTlZCYTkEgapJ-W1wVTOBTw49O2RDNuBqooWMt7CbwCpovIY4hZ9ZXvzq9xTs9debicNaj0najVJsXEng0XVY8n8A.O6TCJSRV9bq2vJGzM8YI61ilytQnJJkvggYL2eSDUg0&dib_tag=se&keywords=photo+camera&qid=1744063165&sr=8-4
"Focusify Digital Camera, 4K Ultra HD Cameras for Photography, Digital Point and Shoot Camera with 56Mp Autofocus 20X Zoom Anti Shake, Video Camera with 32GB SD Card for Kids, Teens, Beginners(Black)",2999,2.9,56,Focusify,"📷[Exceptional Image Resolution]: Elevate your photography to new heights with an impressive 56MP sensor, delivering unparalleled levels of detail and clarity. From intricate landscapes to dynamic portraits, every shot is rendered with breathtaking precision and lifelike quality, allowing you to explore the nuances of your subject with unmatched depth.

📷[Cinematic Video Mastery]: Step into the realm of cinematography with confidence, as this camera empowers you to capture cinematic masterpieces in stunning 4K Ultra High Definition. Whether you're documenting your travels or recording precious moments, every frame is imbued with rich colors, sharp contrast, and remarkable clarity, ensuring your videos stand out with professional-grade brilliance.

📷[Versatile Optical Zoom]: Expand your creative horizons with a powerful 20X optical zoom lens, providing unparalleled versatility in capturing distant subjects with astounding detail and precision. From expansive landscapes to distant wildlife, this feature enables you to frame your shots exactly as you envision, bringing distant scenes closer without compromising image quality.

📷[Ergonomic and Compact Design]: Crafted with precision engineering and ergonomic design principles, this camera seamlessly blends form and function to deliver a truly immersive shooting experience. Its compact and lightweight body ensures effortless portability, allowing you to venture into any environment with ease while its robust construction ensures durability in the face of challenging conditions.

📷Multifunctional Marvel: Beyond its primary role as a powerful camera, this device doubles as a webcam, enhancing your virtual meetings with crisp and clear video. Its multifunctionality makes it a versatile gadget for both professional and personal use, adapting to your diverse needs effortlessly.",https://www.amazon.in/Focusify-Digital-Photography-Autofocus-Beginners/dp/B0D5H9XTZW/ref=sr_1_5?dib=eyJ2IjoiMSJ9.inKGLn7zOpBLcBKym2afr-G4s7-38fajwfLXvfxtQTbhssLDrRfTq1xme7vA4bVOFVwc4i18bVid7mLuClks33H4qSVSTh9J3Manf8rOudEkd2aX9MQoLWPWfC1r6u4Dy3yWhKl5zJQfONU4k3vTlZCYTkEgapJ-W1wVTOBTw49O2RDNuBqooWMt7CbwCpovIY4hZ9ZXvzq9xTs9debicNaj0najVJsXEng0XVY8n8A.O6TCJSRV9bq2vJGzM8YI61ilytQnJJkvggYL2eSDUg0&dib_tag=se&keywords=photo+camera&qid=1744063165&sr=8-5
"TAMRAKTU PU Leather Protective Camera Case Pouch Compatible with Fujifilm Instax Mini 12 Camera, Instant Camera Case! Rain Proof with Shoulder Strap (Lilac Purple)",799,3.3,3,,"✨Stylish Protection: This PU leather case is fashionable and durable to safeguard your Mini 12 instant camera.

✨Rain-Resistant: With its water-resistant design, this case shields your camera from light rain or accidental spills.

✨Convenient Access: The case features an easy-access opening, allowing you to quickly retrieve your camera when needed.

✨Compact and Portable: Its compact size makes it easy to carry your camera and accessories wherever you go.

✨Universal Compatibility: Designed to fit most instant cameras of similar size, this versatile case is a practical choice.

✨ Only Bag (Camera is not included)",https://www.amazon.in/TAMRAKTU-PU-Leather-Protective-Mini/dp/B0DGQKGX5Y/ref=sr_1_6?dib=eyJ2IjoiMSJ9.inKGLn7zOpBLcBKym2afr-G4s7-38fajwfLXvfxtQTbhssLDrRfTq1xme7vA4bVOFVwc4i18bVid7mLuClks33H4qSVSTh9J3Manf8rOudEkd2aX9MQoLWPWfC1r6u4Dy3yWhKl5zJQfONU4k3vTlZCYTkEgapJ-W1wVTOBTw49O2RDNuBqooWMt7CbwCpovIY4hZ9ZXvzq9xTs9debicNaj0najVJsXEng0XVY8n8A.O6TCJSRV9bq2vJGzM8YI61ilytQnJJkvggYL2eSDUg0&dib_tag=se&keywords=photo+camera&qid=1744063165&sr=8-6
Fujifilm Instax Mini 11 Instant Camera (Sky Blue),5998,4.2,"29,144",Fujifilm,"Live Life and Play with five stylish colors

Selfies & Close-ups Never look better

The high performance flash automatically calculates surrounding brightness and adjusts shutter speed accordingly- no need for any special settings

High-Key mode : Take brighter pictures with a soft look - perfect for portraits

Uses Instax Mini Film, print size 54 (w) x 86 (H) mm, image size 46 (w) x 62 (H) mm

More clarity, style, compact & simple selfies

With the new instax Mini 11 don't just take, give",https://www.amazon.in/Fujifilm-Instax-Mini-Instant-Camera/dp/B08527W1MF/ref=sr_1_7?dib=eyJ2IjoiMSJ9.inKGLn7zOpBLcBKym2afr-G4s7-38fajwfLXvfxtQTbhssLDrRfTq1xme7vA4bVOFVwc4i18bVid7mLuClks33H4qSVSTh9J3Manf8rOudEkd2aX9MQoLWPWfC1r6u4Dy3yWhKl5zJQfONU4k3vTlZCYTkEgapJ-W1wVTOBTw49O2RDNuBqooWMt7CbwCpovIY4hZ9ZXvzq9xTs9debicNaj0najVJsXEng0XVY8n8A.O6TCJSRV9bq2vJGzM8YI61ilytQnJJkvggYL2eSDUg0&dib_tag=se&keywords=photo+camera&qid=1744063165&sr=8-7
"Acuvar Digital Camera, 16 Megapixel Photo Camera Mini Digital SLR Camera, CMOS Sensor 2.4“ TFT LCD Compact Camera, 16X Digital Zoom Video Camera for Children Adults Beginners",7721,3.2,40,Acuvar,"GREAT CAMERA QUALITY FOR BEGINNERS AND KIDS: This photo camera with an infrared lens and a 2.4-inch TFT LCD 320 * 240 pixel screen and 16.0 megapixels will help you capture the most exciting and unforgettable moments with high quality pictures or videos. it is exactly what you need, you can have fun and record wonderful times with friends, family members and classmates.

VERSATILE AND USEFUL FEATURES: The Acuvar SLR Digital camera supports video and photo mode and it has a built-in microphone. The mini video camera can also be used as a webcam. You can make video calls or live streaming to share things on social media, a great choice for YouTube and vlogging. Just turn off the camera, connect it to the computer, press the power button and the mode button at the same time and it will be in webcam mode

ULTRA 16X ZOOM: This camera has a built in 16X digital zoom function. You can zoom in and out of images using the W / T buttons. It can easily focus from far away and take close-ups with sharp detail or record even record zoomed in videos. The camera also has a pause function, you can pause the recording and continue from where you stopped without starting a new file, which makes it easier to edit videos.

LONG LASTING BATTERY: The camera is powered by 4 AA Batteries, High quality AA batteries will work for 4hrs of photo life and 2hrs video Giving your little ones plenty of time to play!. (Batteries are not included)

INCLUDED IN THE PACKAGE: Acuvar SLR Digital Kids Camera, Lanyard, Manual, USB Mini Transfer Cable",https://www.amazon.in/Acuvar-Digital-Megapixel-Children-Beginners/dp/B0BTV3QDVL/ref=sr_1_8?dib=eyJ2IjoiMSJ9.inKGLn7zOpBLcBKym2afr-G4s7-38fajwfLXvfxtQTbhssLDrRfTq1xme7vA4bVOFVwc4i18bVid7mLuClks33H4qSVSTh9J3Manf8rOudEkd2aX9MQoLWPWfC1r6u4Dy3yWhKl5zJQfONU4k3vTlZCYTkEgapJ-W1wVTOBTw49O2RDNuBqooWMt7CbwCpovIY4hZ9ZXvzq9xTs9debicNaj0najVJsXEng0XVY8n8A.O6TCJSRV9bq2vJGzM8YI61ilytQnJJkvggYL2eSDUg0&dib_tag=se&keywords=photo+camera&qid=1744063165&sr=8-8
"Saneen Digital Camera for Photography, 4K 64MP WiFi Touch Screen Vlogging Camera with Flash, 32GB Micro Card, Lens Hood, 3000mAH Battery, Front and Rear Cameras, 4″Big Screen, Hot Shoe Interface-Black",9999,4.1,477,Saneen,"4 K & 64 MP Camera for Photography：Explore a variety of video resolution options such as 4 K, 2.7 K, 1080 P, and 720 P, along with high-resolution photo options including 64 MP, 56 MP, 48 MP, and 24 MP with the Saneen camera

4-inch Touch Screen Big Display：The 4"" Big Screen provides a vibrant display for easy viewing and navigation while the touch screen interface ensures seamless operation

WiFi and HDMI Output Function：Equipped with WIFI connectivity, you can easily share your work in real-time or remotely control the camera using your smartphone. The HDMI port allows for seamless connectivity to external monitors or TVs

Front and Rear Dual Camera Setup：Equipped with front and rear cameras, this camera makes it easier for selfie-taking or live streaming. And it works better as a webcam

Pop Up Flash: Equipped with Pop up flash for enhanced lighting capabilities. Whether you're shooting in low-light environments or looking to add a creative touch to your images, the Pop up flash ensures consistent.

With Hot Shoe and Lens Hood：The camera comes with a 52 MM lens hood to help reduce glare and improve image clarity. The Hot Shoe Port enables you to attach accessories like a lens hood or flash for customized lighting options

32GB Card and 3000mAH Battery：The Saneen camera comes with a 32GB SD card to store all your precious memories and a 3000mAH battery for long-lasting usage",https://www.amazon.in/Saneen-Digital-Photography-Vlogging-Interface/dp/B0CVX7DWP2/ref=sr_1_9?dib=eyJ2IjoiMSJ9.inKGLn7zOpBLcBKym2afr-G4s7-38fajwfLXvfxtQTbhssLDrRfTq1xme7vA4bVOFVwc4i18bVid7mLuClks33H4qSVSTh9J3Manf8rOudEkd2aX9MQoLWPWfC1r6u4Dy3yWhKl5zJQfONU4k3vTlZCYTkEgapJ-W1wVTOBTw49O2RDNuBqooWMt7CbwCpovIY4hZ9ZXvzq9xTs9debicNaj0najVJsXEng0XVY8n8A.O6TCJSRV9bq2vJGzM8YI61ilytQnJJkvggYL2eSDUg0&dib_tag=se&keywords=photo+camera&qid=1744063165&sr=8-9
"One Click in Kids Digital Camera with 3MP, HD 1080P, IPS Screen, Selfie Function, and Built-in Games Kids Boys & Girl (Color - Pink)",622,5.0,8,Generic,"📸 3MP High-Quality Camera: Capture sharp and vibrant images with 3MP resolution, perfect for budding photographers.

🎥 HD 1080P Video Recording: Record fun and memorable moments in clear HD quality for playback and sharing.

🖥️ IPS Display Screen: Features a durable and eye-friendly IPS screen for easy photo and video viewing.

🤳 Selfie Mode: Includes a selfie camera function for kids to capture their own fun moments effortlessly.

🎮 Built-In Games: Keep kids entertained with fun, pre-installed games when they’re not taking photos.

🎀 Attractive Pink Color: Designed in a beautiful pink color that’s perfect for kids who love stylish and vibrant gadgets.

🔋 Rechargeable Battery: Enjoy hours of fun with the built-in rechargeable battery, eliminating the need for constant replacements.

🎁 Perfect Gift for Kids: Lightweight, portable, and easy to use—ideal for birthdays, holidays, or any special occasion.",https://www.amazon.in/Digital-Camera-Screen-Selfie-Function/dp/B0DWNBNXFS/ref=sr_1_10?dib=eyJ2IjoiMSJ9.inKGLn7zOpBLcBKym2afr-G4s7-38fajwfLXvfxtQTbhssLDrRfTq1xme7vA4bVOFVwc4i18bVid7mLuClks33H4qSVSTh9J3Manf8rOudEkd2aX9MQoLWPWfC1r6u4Dy3yWhKl5zJQfONU4k3vTlZCYTkEgapJ-W1wVTOBTw49O2RDNuBqooWMt7CbwCpovIY4hZ9ZXvzq9xTs9debicNaj0najVJsXEng0XVY8n8A.O6TCJSRV9bq2vJGzM8YI61ilytQnJJkvggYL2eSDUg0&dib_tag=se&keywords=photo+camera&qid=1744063165&sr=8-10
